stock_name,date,value,count,Individual_buy_count,NonIndividual_buy_count,Individual_sell_count,NonIndividual_sell_count,Individual_buy_volume,NonIndividual_buy_volume,Individual_sell_volume,NonIndividual_sell_volume,Individual_buy_value,NonIndividual_buy_value,Individual_sell_value,NonIndividual_sell_value,adj_max_price,adj_min_price,adj_first_price,adj_last_price,adj_volume,adj_close_price,change
وصنعت,2011-09-21,951035571,96,39,1,24,1,752334,29248,732712,48870,915585743,35449828,891618521,59417050,102,100,100,101,781582,101,0.495458298926507
وصنعت,2011-09-25,823138746,60,20,2,30,0,557007,129634,686641,0,668157482,154981264,823138746,0,100,99,100,99,686641,100,-1.39687756778965
وصنعت,2011-09-26,890678565,88,16,1,35,0,216033,530000,746033,0,257560050,633118515,890678565,0,100,98,100,99,746033,99,-0.5
وصنعت,2011-09-27,494591024,62,22,1,24,1,376597,35282,381879,30000,452252624,42338400,458531024,36060000,100,99,100,100,411879,99,0.33500837520938
وصنعت,2011-09-28,534269393,50,10,8,26,0,160426,281780,442206,0,194023970,340245423,534269393,0,101,99,99,101,442206,100,0.500834724540901
وصنعت,2011-10-01,568887196,92,17,4,30,0,88730,384750,473480,0,106429480,462457716,568887196,0,101,99,99,100,473480,100,-0.166112956810631
وصنعت,2011-10-02,2130368499,169,20,5,48,3,539123,1209089,869184,879028,656485548,1473882951,1058184912,1072183587,103,100,100,101,1748212,101,1.41430948419301
وصنعت,2011-10-03,2946620475,213,31,5,86,4,1257649,1097874,1534923,820600,1567219617,1379400858,1929836844,1016783631,105,101,101,105,2355523,104,2.62510254306809
وصنعت,2011-10-04,9064626276,575,136,1,207,8,6663902,372000,5946580,1089322,8586775903,477850373,7667813861,1396812415,108,105,106,108,7035902,107,2.95763389288569
وصنعت,2011-10-05,3262807517,276,68,1,93,1,2490740,13514,2004254,500000,3245577167,17230350,2610105652,652701865,109,106,108,106,2504254,108,1.16459627329193
وصنعت,2011-10-08,1652296494,149,21,2,64,1,441633,843772,885405,400000,572435084,1079861410,1140295094,512001400,109,106,108,106,1285405,107,-1.38142747505756
وصنعت,2011-10-09,1890725463,158,28,4,66,0,334305,1150000,1484305,0,425435612,1465289851,1890725463,0,106,104,106,105,1484305,106,-0.856031128404669
وصنعت,2011-10-10,1471731905,149,40,3,46,0,945894,208248,1154142,0,1206345285,265386620,1471731905,0,107,105,105,106,1154142,106,0.078492935635793
وصنعت,2011-10-11,8509398433,404,94,2,125,4,5931820,500000,5778748,653072,7850132743,659265690,7650097885,859300548,110,107,107,110,6431820,110,3.76470588235294
وصنعت,2011-10-12,13076671448,599,91,9,201,15,4883454,4823063,7144306,2562211,6571450502,6505220946,9624317476,3452353972,114,108,109,111,9706517,112,1.8140589569161
وصنعت,2011-10-15,5659393031,363,104,2,95,1,4160715,157800,4018515,300000,5455149831,204243200,5264745491,394647540,113,107,113,110,4318515,109,-2.74684484038604
وصنعت,2011-10-16,5240423357,418,129,5,105,4,2885760,1095242,2823232,1157770,3804778866,1435644491,3727294766,1513128591,112,106,112,109,3981002,109,0.458015267175573
وصنعت,2011-10-17,6696398594,466,147,2,113,9,4392051,550000,3288690,1653361,5945650270,750748324,4458162610,2238235984,113,109,109,112,4942051,112,2.96352583586626
وصنعت,2011-10-18,2835954328,288,109,1,67,2,2035388,75000,2003348,107040,2734829328,101125000,2691450328,144504000,112,110,112,110,2110388,111,-0.811808118081181
وصنعت,2011-10-19,1070924501,158,57,1,30,2,610197,200000,779989,30208,806934501,263990000,1030973882,39950619,111,109,111,109,810197,110,-1.63690476190476
وصنعت,2011-10-22,865696595,109,50,2,32,0,639900,25000,664900,0,832945196,32751399,865696595,0,109,107,109,107,664900,108,-1.36157337367625
وصنعت,2011-10-23,1402910287,140,44,2,48,0,839167,230885,1070052,0,1101436341,301473946,1402910287,0,109,107,108,109,1070052,109,0.53680981595092
وصنعت,2011-10-24,1834001487,128,49,1,39,0,707223,730000,1437223,0,901931487,932070000,1834001487,0,110,105,110,106,1437223,106,-2.6697177726926
وصنعت,2011-10-25,2162274708,142,47,2,30,1,711875,963929,325804,1350000,916813722,1245460986,420447178,1741827530,108,106,107,107,1675804,107,1.09717868338558
وصنعت,2011-10-26,1037565026,83,36,2,27,1,619475,190000,789475,20000,794665026,242900000,1011716639,25848387,109,106,109,106,809475,106,-0.62015503875969
وصنعت,2011-10-29,1907179118,152,50,2,35,1,871213,632000,1428213,75000,1104948238,802230880,1812079118,95100000,106,104,106,104,1503213,105,-1.01404056162246
وصنعت,2011-10-30,661881452,78,27,1,27,0,494058,30000,524058,0,623921452,37960000,661881452,0,106,103,104,105,524058,105,-0.315208825847124
وصنعت,2011-10-31,322745788,45,25,2,13,1,249575,4361,253403,533,317278373,5467415,322063548,682240,106,104,104,105,253936,105,0.158102766798419
وصنعت,2011-11-01,381930905,59,29,1,28,0,280230,18419,298649,0,358483518,23447387,381930905,0,107,104,104,107,298649,105,0.394632991318074
وصنعت,2011-11-02,779320599,92,45,0,29,1,602281,0,584481,17800,779320599,0,755918154,23402445,109,106,108,106,602281,107,1.41509433962264
